
 epoch:91, val_loss:1.0133, acc:0.7230, acc_cls:0.2253, mean_iu:0.1521, fwavacc:0.5793
 epoch:92, train_loss:0.7298, acc:0.7780, acc_cls:0.3142, mean_iu:0.2396, fwavacc:0.6449
 epoch:92, val_loss:0.9412, acc:0.7346, acc_cls:0.2687, mean_iu:0.1825, fwavacc:0.6056
 epoch:93, train_loss:0.7269, acc:0.7796, acc_cls:0.3187, mean_iu:0.2436, fwavacc:0.6470
 epoch:93, val_loss:0.9630, acc:0.7306, acc_cls:0.2698, mean_iu:0.1882, fwavacc:0.5952
 epoch:94, train_loss:0.7178, acc:0.7803, acc_cls:0.3280, mean_iu:0.2494, fwavacc:0.6485
 epoch:94, val_loss:1.0961, acc:0.7073, acc_cls:0.2311, mean_iu:0.1513, fwavacc:0.5736
 epoch:95, train_loss:0.7076, acc:0.7831, acc_cls:0.3321, mean_iu:0.2558, fwavacc:0.6530
 epoch:95, val_loss:1.0366, acc:0.7344, acc_cls:0.2147, mean_iu:0.1527, fwavacc:0.5802
 epoch:96, train_loss:0.7074, acc:0.7824, acc_cls:0.3330, mean_iu:0.2547, fwavacc:0.6535
 epoch:96, val_loss:1.1005, acc:0.7103, acc_cls:0.2366, mean_iu:0.1560, fwavacc:0.5761
 epoch:97, train_loss:0.7031, acc:0.7854, acc_cls:0.3383, mean_iu:0.2609, fwavacc:0.6554
 epoch:97, val_loss:0.9408, acc:0.7443, acc_cls:0.2223, mean_iu:0.1650, fwavacc:0.5956
 epoch:98, train_loss:0.7019, acc:0.7849, acc_cls:0.3451, mean_iu:0.2668, fwavacc:0.6559
 epoch:98, val_loss:0.9605, acc:0.7316, acc_cls:0.2585, mean_iu:0.1750, fwavacc:0.5873
 epoch:99, train_loss:0.6926, acc:0.7899, acc_cls:0.3543, mean_iu:0.2743, fwavacc:0.6622
 epoch:99, val_loss:0.9511, acc:0.7414, acc_cls:0.2668, mean_iu:0.1847, fwavacc:0.6008
 epoch:100, train_loss:0.6926, acc:0.7896, acc_cls:0.3510, mean_iu:0.2714, fwavacc:0.6615
 epoch:100, val_loss:0.9759, acc:0.7316, acc_cls:0.2572, mean_iu:0.1821, fwavacc:0.5905
 epoch:101, train_loss:0.6684, acc:0.7949, acc_cls:0.3674, mean_iu:0.2856, fwavacc:0.6681
 epoch:101, val_loss:0.9767, acc:0.7295, acc_cls:0.2260, mean_iu:0.1547, fwavacc:0.5833
 epoch:102, train_loss:0.6692, acc:0.7948, acc_cls:0.3661, mean_iu:0.2841, fwavacc:0.6699
 epoch:102, val_loss:0.9720, acc:0.7287, acc_cls:0.2138, mean_iu:0.1573, fwavacc:0.5745
 epoch:103, train_loss:0.6713, acc:0.7920, acc_cls:0.3712, mean_iu:0.2868, fwavacc:0.6659
 epoch:103, val_loss:0.9148, acc:0.7460, acc_cls:0.2545, mean_iu:0.1842, fwavacc:0.6070
 epoch:104, train_loss:0.6601, acc:0.7966, acc_cls:0.3804, mean_iu:0.2966, fwavacc:0.6723
